"","Year","MUNICIPALITY_NAME","Cattle....km2.","Pork.....km2.","Poultry....km2.","Crops....","Human.population....km2.","Distance.from.Montreal..km."
"1",1971,"Acton Vale",29.46,"47.83",512.48,31.39,62,90.91
"2",1971,"Ange Gardien",53.63,"187.31",7171.49,46.66,12.77,65.29
"3",1971,"Beauharnois",27.94,"0.45",3.83,36.77,143.51,28.92
"4",1971,"Bedford",45.33,"4.99",1215.72,32.52,98.57,72.18
"5",1971,"Bethanie",41.79,"37.45",8.68,33.7,8.5,100.63
"6",1971,"Bolton Ouest",13.24,"11.4",5.27,8.53,4.86,104.47
"7",1971,"Boucherville",7,"0.01",8.36,28.75,271.81,23.69
"8",1971,"Brigham",40.73,"56.07",1145.68,28.45,12.19,76.77
"9",1971,"Bromont",NA,NA,NA,NA,10.46,83.1
"10",1971,"Calixa Lavallee",36.64,"0",10.07,57.71,11.25,43.5
"11",1971,"Carignan",10.85,"1.61",231.1,43.91,50.1,30.35
"12",1971,"Contrecoeur",16.96,"0",78.6,21.57,66.2,54.24
"13",1971,"Coteau du Lac",29.78,"1.95",58.65,36.41,22.08,45.58
"14",1971,"Dundee",31.78,"2.92",385.54,25.65,6.18,81.61
"15",1971,"Dunham",25.34,"11.27",883.47,21.27,10.88,83.27
"16",1971,"Elgin",27.49,"3.27",84.7,20.72,6.21,69.88
"17",1971,"Farnham",36.88,"14.87",351.1,33.19,80.3,63.75
"18",1971,"Franklin",22.93,"6.66",5.69,29.08,12.46,54.58
"19",1971,"Frelighsburg",13.2,"4.34",835.51,12.49,8.01,87.55
"20",1971,"Godmanchester",44.44,"5.71",515.76,36.95,12.38,64.82
"21",1971,"Granby",101.8,"173.28",4226.38,75.88,467.7,78.71
"22",1971,"Havelock",13.19,"1.73",441.15,14.77,8.75,53.51
"23",1971,"Hemmingford",23.98,"8.4",98.48,22.17,15.13,52.7
"24",1971,"Henryville",58.69,"15.25",158.3,54.92,11.92,56.76
"25",1971,"Hinchinbrooke",37.78,"1.55",4.45,29.6,12.26,61.28
"26",1971,"La Presentation",41.59,"52.6",3423.24,43.49,12.52,53.82
"27",1971,"Lac Brome",NA,NA,NA,NA,1.35,94.39
"28",1971,"Lacolle",49.87,"0",935.17,42.8,43.18,56.42
"29",1971,"Les Cedres",22.29,"1.33",15.69,30.5,24.1,36.92
"30",1971,"Longueuil",NA,NA,NA,NA,181.79,20.69
"31",1971,"Marieville",65.71,"4.74",8.77,61.2,91.21,43.36
"32",1971,"Mont Saint Gregoire",41.29,"20.27",1745.87,51.1,14.91,47.8
"33",1971,"Mont Saint Hilaire",5.8,"0",122.8,18.79,112.85,42.17
"34",1971,"Notre Dame de Stanbridge",52.86,"22.25",909.56,59.84,17.17,63.95
"35",1971,"Noyan",55.15,"8.67",4.1,51.08,NA,60.59
"36",1971,"Ormstown",35.19,"9.3",174.43,35.38,23.87,50.44
"37",1971,"Richelieu",38.45,"0",0.96,46.87,77.5,38.89
"38",1971,"Rigaud",31.13,"5.82",511.15,28.55,36.24,49.92
"39",1971,"Rougemont",14.23,"1.29",1028.5,46.77,37.09,51.25
"40",1971,"Roxton",30.69,"44.56",19.27,26.47,6.92,92.7
"41",1971,"Roxton Pond",28.21,"22.53",779.27,28.51,12.2,83.9
"42",1971,"Saint Aime",60.31,"86.3",200.06,55.17,9.62,74.11
"43",1971,"Saint Alexandre",52.59,"18.84",269.11,56.01,15.06,55.14
"44",1971,"Saint Alphonse",53.03,"53.02",8432.42,39.5,12.44,72.45
"45",1971,"Saint Amable",1.74,"10.97",41.22,16.77,61.04,35.56
"46",1971,"Saint Anicet",35.59,"4.35",12.9,25.63,12.13,68.45
"47",1971,"Saint Antoine sur Richelieu",45.53,"21.29",32.02,61.34,17.45,51.04
"48",1971,"Saint Armand",45.25,"3.73",10.61,36.34,14.88,75.56
"49",1971,"Saint Barnabe Sud",51.12,"18.59",500.95,68.66,14.92,65.44
"50",1971,"Saint Basile le Grand",12.82,"0.11",2.03,36.84,117.61,33.18
"51",1971,"Saint Bernard de Lacolle",29.78,"6.23",1179.12,29.31,11.86,53.76
"52",1971,"Saint Bernard de Michaudville",23.28,"24.32",241.42,35.74,7.16,60.95
"53",1971,"Saint Blaise sur Richelieu",35.67,"2.98",2.53,62.76,18.27,44.78
"54",1971,"Saint Cesaire",55.79,"94.91",1480.28,60.75,43.83,57.38
"55",1971,"Saint Charles sur Richelieu",32.11,"12",4.76,40.74,13.68,46.29
"56",1971,"Saint Chrysostome",39.52,"2.86",155.49,39.57,12.9,45.18
"57",1971,"Saint Clet",37.8,"4.63",811.67,66.66,22.94,45.72
"58",1971,"Saint Constant",22.35,"19.09",1038.92,53.79,93.37,19.71
"59",1971,"Saint Cyprien de Napierville",42.16,"4.9",973.29,55.74,9.28,43.9
"60",1971,"Saint Damase",27.07,"106.93",2446.36,74.45,27.44,54.1
"61",1971,"Saint David",43.36,"57.04",92.09,56.28,11.97,82.82
"62",1971,"Saint Denis sur Richelieu",51.97,"26.67",541.69,53.46,10.05,52.52
"63",1971,"Saint Dominique",44.36,"123.29",4553.14,44.86,23.52,69.01
"64",1971,"Saint edouard",39.17,"46.43",113.96,66.66,19.59,33.94
"65",1971,"Saint etienne de Beauharnois",62.09,"2.42",63.53,63.84,17.94,34.91
"66",1971,"Saint Georges de Clarenceville",37.6,"7.09",667.77,34.06,13.42,63.76
"67",1971,"Saint Gerard Majella",40.07,"22.85",137.28,47.5,8.65,87.2
"68",1971,"Saint Hugues",32.53,"147.29",1893.3,61.06,9.04,74.93
"69",1971,"Saint Hyacinthe",32.8,"44.4",588.84,69.05,219.46,61.5
"70",1971,"Saint Ignace de Stanbridge",43.02,"42.17",208.94,35.64,11.53,70.77
"71",1971,"Saint Isidore",55.04,"7.91",21.39,73.79,33.45,23.98
"72",1971,"Saint Jacques le Mineur",18.29,"22.26",1427.96,60.75,14.71,34.34
"73",1971,"Saint Jean Baptiste",35.12,"18.89",4399.97,61.56,33.57,45.67
"74",1971,"Saint Jean sur Richelieu",15.65,"2.96",148.42,50.68,215.03,38.25
"75",1971,"Saint Joachim de Shefford",25.93,"17.33",60.74,23.35,6.76,93.23
"76",1971,"Saint Jude",25.71,"21.65",4151.91,25.34,13.85,63.23
"77",1971,"Saint Liboire",53.69,"113.85",393.58,50.32,21.54,75.27
"78",1971,"Saint Louis",31.63,"58.79",338.19,39.85,NA,68.51
"79",1971,"Saint Louis de Gonzague",47.24,"0.42",312.84,42.77,14.28,42.01
"80",1971,"Saint Marc sur Richelieu",51.57,"0.16",25.75,50.68,15.55,42.03
"81",1971,"Saint Marcel de Richelieu",39.87,"23.45",7.92,45.93,11.88,74.44
"82",1971,"Saint Mathias sur Richelieu",37.12,"2.93",7.31,50.47,33.76,37.51
"83",1971,"Saint Mathieu",8.68,"15.44",1.94,49.51,21.22,25.3
"84",1971,"Saint Mathieu de Beloeil",60.52,"0.41",262.21,83.82,13.48,36.69
"85",1971,"Saint Michel",17.14,"26.68",588.76,58.5,24.17,32.55
